======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = True
CUTOUT_SIZE = 4
USE_SILU = False
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4863  |     0.6787  |   0.6284  |               |              7.5412  |
|          |      1  |      1.2617  |     0.8057  |   0.7380  |               |              7.9531  |
|          |      2  |      1.2490  |     0.8135  |   0.7843  |               |              8.3368  |
|          |      3  |      1.1396  |     0.8809  |   0.8238  |               |              8.6911  |
|          |      4  |      1.1367  |     0.8701  |   0.8393  |               |              9.0436  |
|          |      5  |      1.1172  |     0.8848  |   0.8279  |               |              9.3970  |
|          |      6  |      1.0605  |     0.9121  |   0.8944  |               |              9.7515  |
|          |      7  |      1.0352  |     0.9268  |   0.8795  |               |             10.1045  |
|          |      8  |      0.9805  |     0.9600  |   0.9253  |               |             10.4577  |
|          |      9  |      0.9600  |     0.9707  |   0.9300  |               |             10.7827  |
|          |   eval  |      0.9600  |     0.9707  |   0.9300  |       0.9367  |             10.9356  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4932  |     0.6719  |   0.6675  |               |              0.3922  |
|          |      1  |      1.2822  |     0.7959  |   0.7404  |               |              0.7767  |
|          |      2  |      1.2285  |     0.8252  |   0.8165  |               |              1.1598  |
|          |      3  |      1.1641  |     0.8633  |   0.8273  |               |              1.5148  |
|          |      4  |      1.1543  |     0.8477  |   0.8165  |               |              1.8677  |
|          |      5  |      1.1006  |     0.8945  |   0.8239  |               |              2.2211  |
|          |      6  |      1.0547  |     0.9229  |   0.8938  |               |              2.5740  |
|          |      7  |      1.0488  |     0.9160  |   0.8953  |               |              2.9271  |
|          |      8  |      0.9824  |     0.9482  |   0.9241  |               |              3.2808  |
|          |      9  |      0.9595  |     0.9668  |   0.9348  |               |              3.6062  |
|          |   eval  |      0.9595  |     0.9668  |   0.9348  |       0.9390  |              3.7600  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.5146  |     0.6455  |   0.5284  |               |              0.4788  |
|          |      1  |      1.2715  |     0.8008  |   0.7330  |               |              0.8631  |
|          |      2  |      1.2373  |     0.8145  |   0.7683  |               |              1.2474  |
|          |      3  |      1.1904  |     0.8584  |   0.8131  |               |              1.6013  |
|          |      4  |      1.1416  |     0.8721  |   0.8402  |               |              1.9542  |
|          |      5  |      1.1455  |     0.8652  |   0.8449  |               |              2.3067  |
|          |      6  |      1.0293  |     0.9424  |   0.8861  |               |              2.6610  |
|          |      7  |      1.0312  |     0.9180  |   0.8932  |               |              3.0160  |
|          |      8  |      0.9712  |     0.9658  |   0.9231  |               |              3.3692  |
|          |      9  |      0.9551  |     0.9756  |   0.9327  |               |              3.6938  |
|          |   eval  |      0.9551  |     0.9756  |   0.9327  |       0.9387  |              3.8472  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4678  |     0.6875  |   0.6242  |               |              0.3918  |
|          |      1  |      1.2588  |     0.8164  |   0.7950  |               |              0.7766  |
|          |      2  |      1.2266  |     0.8203  |   0.8176  |               |              1.1605  |
|          |      3  |      1.1465  |     0.8682  |   0.7487  |               |              1.5154  |
|          |      4  |      1.1396  |     0.8672  |   0.8604  |               |              1.8686  |
|          |      5  |      1.1152  |     0.8789  |   0.8641  |               |              2.2228  |
|          |      6  |      1.0498  |     0.9023  |   0.8878  |               |              2.5763  |
|          |      7  |      1.0371  |     0.9297  |   0.8921  |               |              2.9307  |
|          |      8  |      0.9844  |     0.9531  |   0.9182  |               |              3.2851  |
|          |      9  |      0.9556  |     0.9727  |   0.9331  |               |              3.6098  |
|          |   eval  |      0.9556  |     0.9727  |   0.9331  |       0.9406  |              3.7631  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4443  |     0.7070  |   0.6919  |               |              0.3918  |
|          |      1  |      1.2930  |     0.7939  |   0.6775  |               |              0.7756  |
|          |      2  |      1.2227  |     0.8301  |   0.7779  |               |              1.1599  |
|          |      3  |      1.1660  |     0.8516  |   0.8148  |               |              1.5141  |
|          |      4  |      1.1533  |     0.8604  |   0.8222  |               |              1.8678  |
|          |      5  |      1.0986  |     0.8818  |   0.8427  |               |              2.2226  |
|          |      6  |      1.0674  |     0.9082  |   0.8794  |               |              2.5767  |
|          |      7  |      1.0508  |     0.9141  |   0.8906  |               |              2.9294  |
|          |      8  |      0.9902  |     0.9463  |   0.9151  |               |              3.2832  |
|          |      9  |      0.9648  |     0.9639  |   0.9289  |               |              3.6090  |
|          |   eval  |      0.9648  |     0.9639  |   0.9289  |       0.9393  |              3.7620  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4805  |     0.6572  |   0.6361  |               |              0.3912  |
|          |      1  |      1.2686  |     0.8037  |   0.7923  |               |              0.7761  |
|          |      2  |      1.2061  |     0.8330  |   0.7775  |               |              1.1609  |
|          |      3  |      1.1738  |     0.8564  |   0.8024  |               |              1.5149  |
|          |      4  |      1.1523  |     0.8525  |   0.8294  |               |              1.8674  |
|          |      5  |      1.1016  |     0.8936  |   0.8219  |               |              2.2202  |
|          |      6  |      1.0674  |     0.9082  |   0.8799  |               |              2.5742  |
|          |      7  |      1.0430  |     0.9111  |   0.9038  |               |              2.9277  |
|          |      8  |      0.9956  |     0.9463  |   0.9212  |               |              3.2816  |
|          |      9  |      0.9541  |     0.9736  |   0.9335  |               |              3.6065  |
|          |   eval  |      0.9541  |     0.9736  |   0.9335  |       0.9410  |              3.7599  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4775  |     0.6797  |   0.6484  |               |              0.4795  |
|          |      1  |      1.2754  |     0.7910  |   0.7832  |               |              0.8636  |
|          |      2  |      1.2500  |     0.8047  |   0.7755  |               |              1.2465  |
|          |      3  |      1.1924  |     0.8379  |   0.7947  |               |              1.6000  |
|          |      4  |      1.1367  |     0.8701  |   0.8610  |               |              1.9521  |
|          |      5  |      1.1152  |     0.8828  |   0.8508  |               |              2.3046  |
|          |      6  |      1.0430  |     0.9229  |   0.8871  |               |              2.6579  |
|          |      7  |      1.0498  |     0.9199  |   0.8986  |               |              3.0111  |
|          |      8  |      0.9858  |     0.9580  |   0.9209  |               |              3.3634  |
|          |      9  |      0.9497  |     0.9756  |   0.9321  |               |              3.6883  |
|          |   eval  |      0.9497  |     0.9756  |   0.9321  |       0.9387  |              3.8413  |
------------------------------------------------------------------------------------------------------
