======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = True
CUTOUT_SIZE = 8
USE_SILU = False
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      9  |      0.9966  |     0.9453  |   0.9284  |               |              3.6099  |
|          |   eval  |      0.9966  |     0.9453  |   0.9284  |       0.9338  |              3.7629  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4893  |     0.6777  |   0.6039  |               |              0.4029  |
|          |      1  |      1.3438  |     0.7549  |   0.7131  |               |              0.7878  |
|          |      2  |      1.2793  |     0.7842  |   0.6640  |               |              1.1721  |
|          |      3  |      1.2217  |     0.8223  |   0.8040  |               |              1.5266  |
|          |      4  |      1.1982  |     0.8389  |   0.8399  |               |              1.8804  |
|          |      5  |      1.1465  |     0.8682  |   0.8052  |               |              2.2336  |
|          |      6  |      1.0918  |     0.8984  |   0.8739  |               |              2.5882  |
|          |      7  |      1.0576  |     0.9219  |   0.9057  |               |              2.9415  |
|          |      8  |      1.0205  |     0.9287  |   0.9060  |               |              3.2944  |
|          |      9  |      0.9863  |     0.9521  |   0.9300  |               |              3.6186  |
|          |   eval  |      0.9863  |     0.9521  |   0.9300  |       0.9370  |              3.7719  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.5361  |     0.6338  |   0.6219  |               |              0.3911  |
|          |      1  |      1.3467  |     0.7451  |   0.7370  |               |              0.7747  |
|          |      2  |      1.2285  |     0.8164  |   0.7473  |               |              1.1595  |
|          |      3  |      1.2256  |     0.8242  |   0.7484  |               |              1.5127  |
|          |      4  |      1.1758  |     0.8516  |   0.8440  |               |              1.8670  |
|          |      5  |      1.1543  |     0.8574  |   0.8150  |               |              2.2201  |
|          |      6  |      1.0889  |     0.9023  |   0.8891  |               |              2.5732  |
|          |      7  |      1.0918  |     0.9004  |   0.8838  |               |              2.9265  |
