======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = True
CUTOUT_SIZE = 16
USE_SILU = False
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.6484  |     0.5615  |   0.6078  |               |              7.7133  |
|          |      1  |      1.5176  |     0.6504  |   0.6222  |               |              8.1218  |
|          |      2  |      1.4180  |     0.7168  |   0.6559  |               |              8.5086  |
|          |      3  |      1.3652  |     0.7354  |   0.7649  |               |              8.8649  |
|          |      4  |      1.3418  |     0.7520  |   0.7933  |               |              9.2199  |
|          |      5  |      1.3262  |     0.7529  |   0.7799  |               |              9.5755  |
|          |      6  |      1.2510  |     0.8027  |   0.8612  |               |              9.9310  |
|          |      7  |      1.2051  |     0.8262  |   0.8720  |               |             10.2870  |
|          |      8  |      1.1641  |     0.8594  |   0.8875  |               |             10.6428  |
|          |      9  |      1.1396  |     0.8613  |   0.9036  |               |             10.9704  |
|          |   eval  |      1.1396  |     0.8613  |   0.9036  |       0.9117  |             11.1230  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.6719  |     0.5439  |   0.5436  |               |              0.3956  |
|          |      1  |      1.5195  |     0.6514  |   0.6406  |               |              0.7822  |
|          |      2  |      1.4336  |     0.7012  |   0.6643  |               |              1.1682  |
|          |      3  |      1.3867  |     0.7402  |   0.6605  |               |              1.5246  |
|          |      4  |      1.3398  |     0.7539  |   0.8283  |               |              1.8799  |
|          |      5  |      1.3125  |     0.7559  |   0.7482  |               |              2.2352  |
|          |      6  |      1.2227  |     0.8252  |   0.8471  |               |              2.5910  |
|          |      7  |      1.2197  |     0.8320  |   0.8742  |               |              2.9465  |
|          |      8  |      1.1592  |     0.8555  |   0.8911  |               |              3.3031  |
|          |      9  |      1.1328  |     0.8818  |   0.9085  |               |              3.6300  |
|          |   eval  |      1.1328  |     0.8818  |   0.9085  |       0.9131  |              3.7825  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.7324  |     0.5088  |   0.4880  |               |              0.3945  |
|          |      1  |      1.5430  |     0.6309  |   0.5064  |               |              0.7810  |
|          |      2  |      1.4219  |     0.7051  |   0.5521  |               |              1.1673  |
|          |      3  |      1.3369  |     0.7559  |   0.6277  |               |              1.5231  |
|          |      4  |      1.3555  |     0.7422  |   0.7937  |               |              1.8786  |
|          |      5  |      1.2832  |     0.7842  |   0.7985  |               |              2.2342  |
|          |      6  |      1.2510  |     0.7969  |   0.8546  |               |              2.5896  |
|          |      7  |      1.2168  |     0.8252  |   0.8684  |               |              2.9457  |
|          |      8  |      1.1875  |     0.8428  |   0.8926  |               |              3.3015  |
|          |      9  |      1.1416  |     0.8672  |   0.9069  |               |              3.6290  |
|          |   eval  |      1.1416  |     0.8672  |   0.9069  |       0.9127  |              3.7821  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.6631  |     0.5635  |   0.5645  |               |              0.3935  |
|          |      1  |      1.4707  |     0.6992  |   0.6718  |               |              0.7805  |
|          |      2  |      1.3906  |     0.7119  |   0.7035  |               |              1.1671  |
|          |      3  |      1.3213  |     0.7705  |   0.7971  |               |              1.5224  |
|          |      4  |      1.3340  |     0.7461  |   0.7965  |               |              1.8772  |
|          |      5  |      1.3291  |     0.7520  |   0.8234  |               |              2.2335  |
|          |      6  |      1.2305  |     0.8086  |   0.8478  |               |              2.5893  |
