======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = False
CUTOUT_SIZE = 8
USE_SILU = True
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      9  |      0.9395  |     0.9834  |   0.9323  |               |              3.6520  |
|          |   eval  |      0.9395  |     0.9834  |   0.9323  |       0.9399  |              3.8056  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4678  |     0.6914  |   0.6512  |               |              0.3878  |
|          |      1  |      1.2764  |     0.7959  |   0.7483  |               |              0.7693  |
|          |      2  |      1.2139  |     0.8359  |   0.6378  |               |              1.1488  |
|          |      3  |      1.1602  |     0.8643  |   0.8204  |               |              1.4988  |
|          |      4  |      1.1484  |     0.8672  |   0.8394  |               |              1.8484  |
|          |      5  |      1.0801  |     0.9102  |   0.8711  |               |              2.1976  |
|          |      6  |      1.0576  |     0.9092  |   0.8905  |               |              2.5475  |
|          |      7  |      1.0234  |     0.9385  |   0.8953  |               |              2.8976  |
|          |      8  |      0.9683  |     0.9600  |   0.9183  |               |              3.2471  |
|          |      9  |      0.9414  |     0.9824  |   0.9312  |               |              3.5694  |
|          |   eval  |      0.9414  |     0.9824  |   0.9312  |       0.9377  |              3.7222  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4277  |     0.7070  |   0.6873  |               |              0.3872  |
|          |      1  |      1.3369  |     0.7686  |   0.4442  |               |              0.7672  |
|          |      2  |      1.2217  |     0.8340  |   0.7966  |               |              1.1477  |
|          |      3  |      1.1230  |     0.8828  |   0.8259  |               |              1.4975  |
|          |      4  |      1.1602  |     0.8467  |   0.8555  |               |              1.8463  |
|          |      5  |      1.1016  |     0.8867  |   0.8693  |               |              2.1960  |
|          |      6  |      1.0371  |     0.9199  |   0.8713  |               |              2.5458  |
|          |      7  |      1.0439  |     0.9180  |   0.8945  |               |              2.8963  |
|          |      8  |      0.9746  |     0.9590  |   0.9224  |               |              3.2460  |
|          |      9  |      0.9458  |     0.9785  |   0.9297  |               |              3.5671  |
|          |   eval  |      0.9458  |     0.9785  |   0.9297  |       0.9381  |              3.7210  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4209  |     0.7256  |   0.6316  |               |              0.3886  |
|          |      1  |      1.2930  |     0.7881  |   0.6747  |               |              0.7684  |
|          |      2  |      1.2295  |     0.8271  |   0.7602  |               |              1.1491  |
|          |      3  |      1.1484  |     0.8604  |   0.8392  |               |              1.4997  |
|          |      4  |      1.1426  |     0.8701  |   0.8414  |               |              1.8491  |
|          |      5  |      1.1006  |     0.9014  |   0.8716  |               |              2.1989  |
|          |      6  |      1.0547  |     0.9219  |   0.8902  |               |              2.5485  |
|          |      7  |      1.0488  |     0.9199  |   0.8872  |               |              2.8988  |
|          |      8  |      0.9756  |     0.9658  |   0.9204  |               |              3.2481  |
|          |      9  |      0.9478  |     0.9766  |   0.9320  |               |              3.5696  |
|          |   eval  |      0.9478  |     0.9766  |   0.9320  |       0.9389  |              3.7237  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4629  |     0.7080  |   0.6663  |               |              0.4683  |
|          |      1  |      1.2656  |     0.8027  |   0.7078  |               |              0.8489  |
|          |      2  |      1.1836  |     0.8477  |   0.7931  |               |              1.2296  |
|          |      3  |      1.1504  |     0.8691  |   0.8432  |               |              1.5803  |
|          |      4  |      1.1455  |     0.8633  |   0.8054  |               |              1.9279  |
|          |      5  |      1.1084  |     0.8848  |   0.8531  |               |              2.2803  |
|          |      6  |      1.0498  |     0.9102  |   0.8913  |               |              2.6306  |
|          |      7  |      1.0576  |     0.9102  |   0.8877  |               |              2.9801  |
|          |      8  |      0.9849  |     0.9570  |   0.9220  |               |              3.3302  |
|          |      9  |      0.9380  |     0.9805  |   0.9329  |               |              3.6514  |
|          |   eval  |      0.9380  |     0.9805  |   0.9329  |       0.9384  |              3.8044  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.5098  |     0.6377  |   0.6396  |               |              0.3864  |
|          |      1  |      1.3506  |     0.7500  |   0.6961  |               |              0.7657  |
|          |      2  |      1.2070  |     0.8447  |   0.7599  |               |              1.1465  |
|          |      3  |      1.1611  |     0.8623  |   0.7907  |               |              1.4968  |
|          |      4  |      1.1094  |     0.8857  |   0.8749  |               |              1.8463  |
|          |      5  |      1.0977  |     0.8945  |   0.8079  |               |              2.1953  |
|          |      6  |      1.0371  |     0.9277  |   0.8946  |               |              2.5453  |
|          |      7  |      1.0244  |     0.9287  |   0.8937  |               |              2.8946  |
|          |      8  |      0.9736  |     0.9648  |   0.9235  |               |              3.2440  |
|          |      9  |      0.9497  |     0.9756  |   0.9349  |               |              3.5652  |
|          |   eval  |      0.9497  |     0.9756  |   0.9349  |       0.9421  |              3.7184  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4570  |     0.6943  |   0.7010  |               |              0.3874  |
|          |      1  |      1.2617  |     0.8076  |   0.7984  |               |              0.7676  |
|          |      2  |      1.2236  |     0.8359  |   0.8074  |               |              1.1477  |
|          |      3  |      1.1562  |     0.8691  |   0.8372  |               |              1.4991  |
|          |      4  |      1.1357  |     0.8760  |   0.8390  |               |              1.8476  |
